17/08/2017 23:47:22	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Testcase executed on the Node IP: localhost
17/08/2017 23:47:22	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		***** Dataprovider Iteration No: 1 : *****
17/08/2017 23:49:40	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:40	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[2]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:40	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[2]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[3]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[3]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[4]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[4]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[5]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[5]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:41	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[6]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[6]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:42	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
