18/08/2017 01:01:36	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Testcase executed on the Node IP: localhost
18/08/2017 01:01:36	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		***** Dataprovider Iteration No: 1 : *****
18/08/2017 01:03:34	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
18/08/2017 01:03:34	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[2]/td[1]' element on 'On-Boarding - Zappy Energy' page
18/08/2017 01:03:34	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
18/08/2017 01:03:34	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[2]/td[2]' element on 'On-Boarding - Zappy Energy' page
18/08/2017 01:03:34	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[3]/td[1]' element on 'On-Boarding - Zappy Energy' page
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[3]/td[2]' element on 'On-Boarding - Zappy Energy' page
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[4]/td[1]' element on 'On-Boarding - Zappy Energy' page
18/08/2017 01:03:35	INFO 	ZAPPY_Automation_Demo-ZAPPY_Automation_Demo_1		Get text for ZAPPY Form Details
